ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
865,103,162,1604,1014,325,21,244,663,1014,111,0.283392226,0.477561837,0.839313708,0.36175187
867,85,162,1430,971,280,19,160,421,1093,89,0.257983042,0.401948403,0.715635047,0.313686644
869,87,162,1436,889,296,27,224,472,1253,149,0.259862468,0.44480637,0.764392305,0.319585935
871,65,162,1366,851,301,34,180,589,1529,86,0.249588891,0.41567696,0.740326911,0.324649951
873,75,162,1414,940,298,27,149,479,1236,55,0.256531205,0.401487663,0.721112602,0.319624938
875,83,162,1452,955,270,54,173,585,1274,99,0.262567812,0.42477396,0.76041577,0.33564181
877,76,162,1348,963,252,25,108,415,1025,100,0.247248716,0.362068966,0.664986827,0.302917861
879,77,162,1471,963,293,33,182,546,1216,81,0.262397431,0.423831609,0.758547627,0.334716018
881,97,162,1451,961,290,34,166,560,1064,108,0.259989249,0.41336678,0.74536614,0.33199936
883,90,162,1338,946,236,24,132,538,1183,124,0.246227457,0.371365477,0.688768245,0.317402769
885,86,162,1456,1003,285,18,150,541,1027,79,0.262721039,0.401840491,0.733445869,0.331605378
887,66,162,1440,1022,264,21,133,424,1056,76,0.259272596,0.386208138,0.701824396,0.315616258
889,88,162,1467,1006,263,21,177,467,922,160,0.26750547,0.419948942,0.751689219,0.331740277
891,81,162,1515,1023,308,32,152,546,1147,69,0.268474216,0.415204678,0.750398427,0.335193749
893,80,162,1363,913,276,19,155,466,1070,104,0.248360058,0.390306122,0.70157536,0.311269237
895,95,162,1485,977,275,32,201,662,1136,103,0.266750494,0.435961918,0.785788581,0.349826662
897,61,162,1274,930,227,16,101,459,1184,142,0.23553337,0.339434276,0.637399637,0.297965361
899,90,162,1556,1101,268,25,162,511,986,123,0.276131322,0.418811003,0.757001555,0.338190552
901,94,162,1357,855,293,37,172,531,1249,133,0.250322819,0.413207895,0.735569787,0.322361892
903,71,162,1423,954,285,36,148,425,1202,69,0.256442602,0.400792936,0.715064524,0.314271589
905,73,162,1429,952,274,40,163,555,1201,118,0.257756133,0.40981241,0.739005958,0.329193548
907,56,162,1442,1010,309,28,95,401,1164,118,0.257591997,0.373704895,0.684293517,0.310588622
