ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
871,Matt Holliday\hollima01,5.9,2010,30,STL,NL,158,675,596,95,186,45,1,28,103,69,10,93,8,0,2,13,9,5,0.312,0.39,0.532,0.922,*7/HD
872,Matt Kemp\kempma01,-1.1,2010,25,LAD,NL,162,668,602,82,150,25,6,28,89,53,4,170,4,0,9,14,19,15,0.249,0.31,0.45,0.76,*8/H
874,Matt Lindstrom\lindsma01,0.0,2010,30,HOU,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
875,Matt Maloney\malonma02,0.1,2010,26,CIN,NL,7,5,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333,0.333,0.333,0.667,/*1
877,Matt Pagnozzi\pagnoma01,0.3,2010,27,STL,NL,15,44,39,4,14,2,0,1,10,2,0,8,1,2,0,1,0,0,0.359,0.405,0.487,0.892,*2
879,Matt Reynolds\reynoma02,0.1,2010,25,COL,NL,21,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,*1
880,Matt Stairs\stairma01,0.4,2010,42,SDP,NL,78,111,99,14,23,6,0,6,16,11,2,32,0,0,1,1,2,0,0.232,0.306,0.475,0.781,*H7/3D9
891,Melky Cabrera\cabreme01,-0.3,2010,25,ATL,NL,147,509,458,50,117,27,3,4,42,42,11,64,1,5,3,8,7,1,0.255,0.317,0.354,0.671,*789H
892,Melvin Mora\morame01,0.0,2010,38,COL,NL,113,354,316,39,90,12,5,7,45,31,2,53,5,2,0,9,2,1,0.285,0.358,0.421,0.779,*53H4/7
895,Micah Hoffpauir\hoffpmi01,-0.5,2010,30,CHC,NL,24,57,52,5,9,3,0,0,5,5,0,15,0,0,0,3,0,0,0.173,0.246,0.231,0.476,*3H/79
896,Micah Owings\owingmi01,0.2,2010,27,CIN,NL,27,14,14,2,3,0,0,1,3,0,0,6,0,0,0,0,0,0,0.214,0.214,0.429,0.643,*1/H
897,Michael Bourn\bournmi01,5.5,2010,27,HOU,NL,141,605,535,84,142,25,6,2,38,59,5,109,3,6,2,6,52,12,0.265,0.341,0.346,0.686,*8/H
903,Michael McKenry\mckenmi01,-0.2,2010,25,COL,NL,6,9,8,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.111,0.0,0.111,/*H2
907,Miguel Batista\batismi01,0.0,2010,39,WSN,NL,58,9,8,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0.125,0.125,0.125,0.25,*1
909,Miguel Cairo\cairomi01,0.7,2010,36,CIN,NL,91,226,200,30,58,12,0,4,28,17,0,30,4,2,3,4,4,0,0.29,0.353,0.41,0.763,H53/4D69
910,Miguel Montero\montemi01,1.2,2010,26,ARI,NL,85,331,297,36,79,20,2,9,43,29,3,71,2,0,3,10,0,1,0.266,0.332,0.438,0.77,*2/HD
911,Miguel Olivo\olivomi01,2.5,2010,31,COL,NL,112,427,394,55,106,17,6,14,58,27,5,117,1,2,3,6,7,4,0.269,0.315,0.449,0.765,*2/H
913,Mike Adams\adamsmi03,0.0,2010,31,SDP,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
915,Mike Baxter\baxtemi01,-0.2,2010,25,SDP,NL,9,9,8,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0.125,0.111,0.125,0.236,/*H3
918,Mike Dunn\dunnmi01,0.1,2010,25,ATL,NL,25,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
920,Mike Fontenot\fontemi01,0.1,2010,30,TOT,NL,103,261,240,24,68,13,3,1,25,15,0,41,3,1,2,3,1,4,0.283,0.331,0.375,0.706,4H5/6
922,Mike Hampton\hamptmi01,0.0,2010,37,ARI,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
923,Mike Hessman\hessmmi01,0.0,2010,32,NYM,NL,32,65,55,6,7,2,1,1,6,8,1,23,2,0,0,2,0,0,0.127,0.262,0.255,0.516,*H/53
924,Mike Jacobs\jacobmi02,0.1,2010,29,NYM,NL,7,28,24,1,5,1,0,1,2,3,0,7,0,1,0,0,0,0,0.208,0.296,0.375,0.671,/*3
925,Mike Lamb\lambmi01,-0.4,2010,34,FLA,NL,39,40,38,2,7,1,1,0,4,2,0,6,0,0,0,0,0,0,0.184,0.225,0.263,0.488,*H/3
926,Mike Leake\leakemi01,1.1,2010,22,CIN,NL,28,60,48,5,16,1,0,0,3,5,0,15,1,6,0,0,0,0,0.333,0.407,0.354,0.762,*1/H
927,Mike Lincoln\lincomi01,0.0,2010,35,CIN,NL,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
929,Mike MacDougal\macdomi01,0.0,2010,33,STL,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
930,Mike McClendon\mcclemi01,0.1,2010,25,MIL,NL,17,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,*1
932,Mike Minor\minormi01,-0.1,2010,22,ATL,NL,9,11,10,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0.0,0.091,0.0,0.091,/*1
933,Mike Morse\morsemi01,1.3,2010,28,WSN,NL,98,293,266,36,77,12,2,15,41,22,1,64,4,0,1,6,0,1,0.289,0.352,0.519,0.87,*9H3/D
935,Mike Nickeas\nickemi01,-0.2,2010,27,NYM,NL,5,10,10,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0.2,0.2,0.2,0.4,/*2H
936,Mike Pelfrey\pelfrmi01,-0.3,2010,26,NYM,NL,34,70,62,2,7,0,0,0,3,2,0,13,0,6,0,2,0,0,0.113,0.141,0.113,0.254,*1
938,Mike Rivera\rivermi02,-0.2,2010,33,FLA,NL,7,17,14,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0.0,0.176,0.0,0.176,/*2H
941,Mike Zagurski\zagurmi01,0.0,2010,27,PHI,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
943,Mitch Atkins\atkinmi01,0.0,2010,24,CHC,NL,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/*1
946,Mitch Stetter\stettmi01,0.0,2010,29,MIL,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
948,Mitchell Boggs\boggsmi01,0.0,2010,26,STL,NL,61,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
949,Nate McLouth\mclouna01,-2.7,2010,28,ATL,NL,85,288,242,30,46,12,1,6,24,33,2,57,5,6,2,3,7,2,0.19,0.298,0.322,0.62,*8H/7
950,Nate Robertson\roberna01,0.1,2010,32,TOT,NL,21,35,26,2,5,1,0,0,1,2,0,6,0,7,0,2,0,0,0.192,0.25,0.231,0.481,*1
951,Nate Schierholtz\schiena01,0.5,2010,26,SFG,NL,137,252,227,34,55,13,3,3,17,20,5,38,3,1,1,3,4,5,0.242,0.311,0.366,0.676,*9H
953,Neil Walker\walkene01,2.0,2010,24,PIT,NL,110,469,426,57,126,29,3,12,66,34,1,83,3,2,4,4,2,3,0.296,0.349,0.462,0.811,*4/5H
955,Nelson Figueroa\figuene01,0.1,2010,36,TOT,NL,31,22,17,1,4,1,0,0,0,0,0,3,0,5,0,0,0,0,0.235,0.235,0.294,0.529,*1
957,Nick Evans\evansni01,0.2,2010,24,NYM,NL,20,37,36,5,11,3,0,1,5,1,0,10,0,0,0,1,0,0,0.306,0.324,0.472,0.797,*H/798
959,Nick Hundley\hundlni01,-0.1,2010,26,SDP,NL,85,307,273,33,68,18,2,8,43,25,0,66,1,2,6,8,0,5,0.249,0.308,0.418,0.726,*2H
962,Nick Masset\masseni01,0.0,2010,28,CIN,NL,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
964,Nick Stavinoha\stavini01,-0.1,2010,28,STL,NL,79,126,121,11,31,4,0,2,9,4,0,28,1,0,0,5,0,0,0.256,0.286,0.339,0.625,*H9/73D2
968,Nyjer Morgan\morgany01,-0.6,2010,29,WSN,NL,136,577,509,60,129,17,7,0,24,40,1,88,10,15,3,2,34,17,0.253,0.319,0.314,0.633,*8/H
969,Octavio Dotel\doteloc01,0.0,2010,36,TOT,NL,68,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
970,Oliver Perez\perezol01,0.1,2010,28,NYM,NL,17,11,9,0,1,0,0,0,1,1,0,4,0,1,0,0,0,0,0.111,0.2,0.111,0.311,*1
972,Omar Infante\infanom01,3.1,2010,28,ATL,NL,134,506,471,65,151,15,3,8,47,29,1,62,0,4,2,14,7,6,0.321,0.359,0.416,0.775,4567H/9
974,Orlando Cabrera\cabreor01,0.6,2010,35,CIN,NL,123,537,494,64,130,33,0,4,42,28,0,53,3,5,7,11,11,4,0.263,0.303,0.354,0.657,*6/H
976,Oscar Salazar\salazos01,-0.4,2010,32,SDP,NL,85,148,131,19,31,4,0,3,19,16,1,23,0,0,1,4,1,2,0.237,0.318,0.336,0.653,*H7/394D5
977,Osvaldo Martinez\martios01,0.2,2010,22,FLA,NL,14,48,43,8,14,4,1,0,2,4,0,6,0,1,0,0,1,0,0.326,0.383,0.465,0.848,*6/H
978,Oswaldo Navarro\navaros01,-0.1,2010,25,HOU,NL,14,25,20,2,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0.05,0.24,0.05,0.29,*6/H
979,P.J. Walters\waltepj01,-0.1,2010,25,STL,NL,7,9,7,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0.0,0.125,0.0,0.125,/*1
980,Pablo Sandoval\sandopa01,1.5,2010,23,SFG,NL,152,616,563,61,151,34,3,13,63,47,12,81,1,0,5,26,3,2,0.268,0.323,0.409,0.732,*53/H
982,Pat Misch\mischpa01,0.0,2010,28,NYM,NL,12,9,8,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0.125,0.125,0.125,0.25,*1
